elapsed_s,allocated_gb,reserved_gb,phase
86.94,0.0,0.0,model_load
87.44,0.0,0.0,model_load
87.94,0.0,0.0,model_load
88.44,0.0,0.0,model_load
88.94,0.0,0.0,model_load
89.44,0.0,0.0,model_load
89.94,0.0,0.0,model_load
90.44,0.0,0.0,model_load
90.94,0.0,0.0,model_load
91.44,0.0,0.0,model_load
91.94,0.0,0.0,model_load
92.45,0.0,0.0,model_load
92.95,0.0,0.0,model_load
93.45,0.0,0.0,model_load
93.95,0.0,0.0,model_load
94.45,0.0,0.0,model_load
94.95,0.0,0.0,model_load
95.45,0.0,0.0,model_load
95.95,0.0,0.0,model_load
96.45,0.0,0.0,model_load
96.95,0.0,0.0,model_load
97.45,0.0,0.0,model_load
97.95,0.0,0.0,model_load
98.45,0.0,0.0,model_load
98.95,0.0,0.0,model_load
99.45,0.0,0.0,model_load
99.95,0.0,0.0,model_load
100.45,0.0,0.0,model_load
100.95,0.0,0.0,model_load
101.46,0.0,0.0,model_load
101.96,0.0,0.0,model_load
102.46,0.0,0.0,model_load
102.96,0.0,0.0,model_load
103.46,0.0,0.0,model_load
103.96,0.0,0.0,model_load
104.46,0.0,0.0,model_load
104.96,0.0,0.0,model_load
105.46,0.0,0.0,model_load
105.96,0.0,0.0,model_load
106.46,0.0,0.0,model_load
106.96,0.0,0.0,model_load
107.46,0.0,0.0,model_load
107.96,0.0,0.0,model_load
108.46,0.0,0.0,model_load
108.96,0.0,0.0,model_load
109.47,0.0,0.0,model_load
109.97,0.0,0.0,model_load
110.47,0.0,0.0,model_load
110.97,0.0,0.0,model_load
111.47,0.0,0.0,model_load
111.97,0.0,0.0,model_load
112.47,0.0,0.0,model_load
112.97,0.0,0.0,model_load
113.48,0.0,0.0,model_load
113.98,0.0,0.0,model_load
114.48,0.0,0.0,model_load
114.98,0.0,0.0,model_load
115.48,0.0,0.0,model_load
115.98,0.0,0.0,model_load
116.48,0.0,0.0,model_load
116.98,0.0,0.0,model_load
117.48,0.0,0.0,model_load
117.98,0.0,0.0,model_load
118.48,0.0,0.0,model_load
118.98,0.0,0.0,model_load
119.48,0.0,0.0,model_load
119.98,0.0,0.0,model_load
120.48,0.0,0.0,model_load
120.98,0.0,0.0,model_load
121.48,0.0,0.0,model_load
121.98,0.0,0.0,model_load
122.48,0.0,0.0,model_load
122.98,0.0,0.0,model_load
123.48,0.0,0.0,model_load
123.98,0.0,0.0,model_load
124.48,0.0,0.0,model_load
124.99,0.0,0.0,model_load
125.49,0.0,0.0,model_load
125.99,0.0,0.0,model_load
126.49,0.0,0.0,model_load
126.99,0.0,0.0,model_load
127.49,0.0,0.0,model_load
127.99,0.0,0.0,model_load
128.49,0.0,0.0,model_load
128.99,0.0,0.0,model_load
129.49,0.0,0.0,model_load
129.99,0.0,0.0,model_load
130.49,0.0,0.0,model_load
130.99,0.0,0.0,model_load
131.49,0.0,0.0,model_load
131.99,0.0,0.0,model_load
132.49,0.0,0.0,model_load
132.99,0.0,0.0,model_load
133.49,0.0,0.0,model_load
133.99,0.0,0.0,model_load
134.5,0.0,0.0,model_load
135.0,0.0,0.0,model_load
135.5,0.0,0.0,model_load
136.0,0.0,0.0,model_load
136.5,0.0,0.0,model_load
137.0,0.0,0.0,model_load
137.5,0.0,0.0,model_load
138.0,0.0,0.0,model_load
138.5,0.0,0.0,model_load
139.0,0.0,0.0,model_load
139.5,0.0,0.0,model_load
140.0,0.0,0.0,model_load
140.5,0.0,0.0,model_load
141.01,0.0,0.0,model_load
141.51,0.0,0.0,model_load
142.01,0.0,0.0,model_load
142.51,0.0,0.0,model_load
143.01,0.0,0.0,model_load
143.51,0.0,0.0,model_load
144.01,0.0,0.0,model_load
144.51,0.0,0.0,model_load
145.01,0.0,0.0,model_load
145.51,0.0,0.0,model_load
146.01,0.0,0.0,model_load
146.51,0.0,0.0,model_load
147.01,0.0,0.0,model_load
147.51,0.0,0.0,model_load
148.01,0.0,0.0,model_load
148.51,0.0,0.0,model_load
149.01,0.0,0.0,model_load
149.51,0.0,0.0,model_load
150.01,0.0,0.0,model_load
150.51,0.0,0.0,model_load
151.01,0.0,0.0,model_load
151.51,0.0,0.0,model_load
152.01,0.0,0.0,model_load
152.52,0.0,0.0,model_load
153.02,0.0,0.0,model_load
153.52,0.0,0.0,model_load
154.02,0.0,0.0,model_load
154.52,0.0,0.0,model_load
155.02,0.0,0.0,model_load
155.52,0.0,0.0,model_load
156.02,0.0,0.0,model_load
156.52,0.0,0.0,model_load
157.02,1.286,4.809,model_load
157.52,3.502,4.863,model_load
158.02,4.653,4.928,model_load
158.52,7.074,7.094,model_load
159.02,7.558,8.293,input_preparation
159.52,7.558,8.293,input_preparation
160.02,7.558,8.293,input_preparation
160.52,7.558,8.293,input_preparation
161.03,7.558,8.293,input_preparation
161.53,7.558,8.293,input_preparation
162.03,7.558,8.293,input_preparation
162.53,7.558,8.293,input_preparation
163.12,7.558,8.293,input_preparation
163.62,7.801,8.293,vlm_inference
164.12,8.069,8.48,vlm_inference
164.63,7.902,8.668,vlm_inference
165.13,8.699,9.043,vlm_inference
165.63,8.049,9.23,vlm_inference
166.13,8.05,9.236,vlm_inference
166.63,8.054,9.238,vlm_inference
167.13,8.589,9.242,vlm_inference
167.63,8.495,9.242,vlm_inference
168.13,8.49,9.242,vlm_inference
